MQ-2,MQ-3,MQ-136,MQ-137,corruption_level
508.0,470.0,216.0,434.0,3
508.0,470.0,215.0,434.0,3
508.0,471.0,215.0,434.0,3
508.0,472.0,215.0,434.0,3
508.0,472.0,215.0,434.0,3
508.0,473.0,214.0,434.0,3
508.0,473.0,214.0,434.0,3
508.0,473.0,214.0,434.0,3
508.0,473.0,213.0,434.0,3
508.0,473.0,213.0,435.0,3
508.0,473.0,212.0,435.0,3
508.0,473.0,212.0,435.0,3
508.0,473.0,212.0,435.0,3
508.0,473.0,211.0,435.0,3
508.0,473.0,211.0,435.0,3
508.0,474.0,211.0,435.0,3
508.0,475.0,210.0,435.0,3
508.0,475.0,210.0,435.0,3
509.0,475.0,210.0,434.0,3
509.0,476.0,209.0,435.0,3
509.0,476.0,209.0,435.0,3
510.0,476.0,209.0,435.0,3
509.0,475.0,209.0,435.0,3
509.0,474.0,208.0,435.0,3
509.0,475.0,209.0,436.0,3
509.0,474.0,208.0,436.0,3
508.0,474.0,208.0,436.0,3
508.0,473.0,207.0,436.0,3
507.0,473.0,208.0,436.0,3
508.0,474.0,208.0,437.0,3
507.0,474.0,207.0,436.0,3
507.0,474.0,207.0,436.0,3
507.0,474.0,207.0,436.0,3
507.0,474.0,208.0,436.0,3
506.0,473.0,207.0,436.0,3
507.0,474.0,207.0,437.0,3
506.0,473.0,207.0,436.0,3
506.0,473.0,207.0,436.0,3
506.0,472.0,207.0,436.0,3
506.0,473.0,207.0,437.0,3
506.0,472.0,207.0,436.0,3
506.0,473.0,207.0,437.0,3
506.0,472.0,207.0,437.0,3
506.0,472.0,207.0,437.0,3
506.0,472.0,207.0,437.0,3
505.0,472.0,207.0,437.0,3
505.0,472.0,207.0,437.0,3
504.0,471.0,207.0,437.0,3
505.0,471.0,207.0,437.0,3
505.0,472.0,207.0,437.0,3
504.0,471.0,207.0,437.0,3
505.0,472.0,207.0,437.0,3
504.0,472.0,207.0,437.0,3
504.0,472.0,207.0,437.0,3
505.0,471.0,208.0,437.0,3
505.0,471.0,208.0,437.0,3
504.0,470.0,207.0,437.0,3
504.0,470.0,207.0,437.0,3
504.0,470.0,207.0,437.0,3
504.0,470.0,207.0,437.0,3
505.0,470.0,207.0,437.0,3
504.0,470.0,207.0,437.0,3
504.0,470.0,207.0,437.0,3
504.0,471.0,206.0,437.0,3
505.0,471.0,206.0,438.0,3
505.0,471.0,206.0,438.0,3
504.0,470.0,206.0,437.0,3
504.0,470.0,206.0,437.0,3
505.0,471.0,206.0,438.0,3
505.0,471.0,205.0,438.0,3
505.0,472.0,205.0,438.0,3
505.0,472.0,205.0,438.0,3
505.0,471.0,205.0,437.0,3
505.0,471.0,205.0,437.0,3
505.0,471.0,205.0,438.0,3
505.0,471.0,205.0,438.0,3
505.0,471.0,205.0,438.0,3
504.0,471.0,204.0,438.0,3
505.0,471.0,204.0,438.0,3
504.0,471.0,204.0,438.0,3
505.0,472.0,204.0,438.0,3
504.0,472.0,204.0,438.0,3
504.0,471.0,204.0,438.0,3
504.0,471.0,204.0,438.0,3
503.0,471.0,204.0,437.0,3
503.0,471.0,203.0,437.0,3
503.0,471.0,203.0,438.0,3
504.0,471.0,203.0,438.0,3
504.0,471.0,203.0,438.0,3
503.0,470.0,203.0,438.0,3
503.0,470.0,203.0,438.0,3
503.0,470.0,203.0,438.0,3
503.0,470.0,203.0,438.0,3
502.0,469.0,203.0,437.0,3
503.0,470.0,203.0,438.0,3
502.0,470.0,203.0,438.0,3
502.0,470.0,203.0,437.0,3
502.0,469.0,202.0,437.0,3
502.0,469.0,203.0,438.0,3
501.0,468.0,203.0,437.0,3
501.0,468.0,203.0,437.0,3
501.0,468.0,203.0,437.0,3
501.0,468.0,203.0,437.0,3
501.0,468.0,203.0,437.0,3
501.0,468.0,203.0,438.0,3
501.0,468.0,203.0,438.0,3
501.0,468.0,204.0,438.0,3
500.0,468.0,204.0,438.0,3
500.0,468.0,204.0,438.0,3
500.0,468.0,204.0,438.0,3
500.0,468.0,204.0,438.0,3
500.0,468.0,205.0,438.0,3
500.0,468.0,205.0,438.0,3
501.0,468.0,205.0,438.0,3
501.0,469.0,206.0,439.0,3
502.0,470.0,206.0,439.0,3
503.0,470.0,206.0,440.0,3
505.0,472.0,207.0,441.0,3
524.0,490.0,215.0,457.0,3
530.0,496.0,219.0,462.0,3
530.0,496.0,220.0,463.0,3
527.0,493.0,219.0,460.0,3
526.0,492.0,219.0,460.0,3
526.0,491.0,220.0,459.0,3
525.0,490.0,219.0,459.0,3
525.0,490.0,220.0,459.0,3
524.0,490.0,219.0,459.0,3
524.0,490.0,219.0,459.0,3
523.0,490.0,219.0,459.0,3
523.0,490.0,219.0,459.0,3
523.0,490.0,219.0,459.0,3
523.0,490.0,219.0,459.0,3
524.0,491.0,219.0,459.0,3
524.0,491.0,219.0,459.0,3
524.0,491.0,219.0,459.0,3
524.0,491.0,219.0,459.0,3
524.0,491.0,220.0,459.0,3
524.0,491.0,220.0,458.0,3
524.0,492.0,220.0,458.0,3
524.0,492.0,220.0,459.0,3
525.0,492.0,220.0,459.0,3
525.0,492.0,220.0,459.0,3
523.0,491.0,219.0,457.0,3
523.0,492.0,219.0,458.0,3
523.0,491.0,219.0,457.0,3
523.0,492.0,219.0,457.0,3
523.0,492.0,218.0,457.0,3
522.0,492.0,218.0,457.0,3
523.0,492.0,218.0,457.0,3
522.0,492.0,218.0,457.0,3
522.0,492.0,218.0,457.0,3
521.0,491.0,218.0,456.0,3
521.0,491.0,218.0,456.0,3
520.0,491.0,218.0,456.0,3
520.0,490.0,218.0,456.0,3
519.0,490.0,218.0,455.0,3
519.0,490.0,218.0,456.0,3
519.0,490.0,218.0,455.0,3
518.0,490.0,217.0,455.0,3
518.0,490.0,217.0,455.0,3
518.0,490.0,217.0,455.0,3
517.0,489.0,217.0,454.0,3
517.0,489.0,217.0,454.0,3
518.0,490.0,217.0,455.0,3
517.0,489.0,216.0,454.0,3
516.0,489.0,216.0,453.0,3
517.0,489.0,216.0,453.0,3
517.0,489.0,215.0,453.0,3
517.0,490.0,215.0,453.0,3
517.0,490.0,215.0,453.0,3
517.0,490.0,215.0,453.0,3
518.0,490.0,215.0,453.0,3
518.0,490.0,215.0,453.0,3
518.0,490.0,215.0,453.0,3
518.0,490.0,215.0,452.0,3
519.0,490.0,216.0,452.0,3
519.0,490.0,216.0,452.0,3
519.0,490.0,216.0,452.0,3
519.0,490.0,216.0,452.0,3
520.0,490.0,216.0,452.0,3
